unique_key,created_date,closed_date,agency,complaint_type,descriptor,borough,status,incident_zip,latitude,longitude
32310363,12/31/2015 11:59:45 PM,01/01/2016 12:55:15 AM,NYPD,Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN,Closed,10034,40.86568153633767,-73.92350095571744
32309934,12/31/2015 11:59:44 PM,01/01/2016 01:26:57 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11105,40.775945312321085,-73.91509393898605
32309159,12/31/2015 11:59:29 PM,01/01/2016 04:51:03 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10458,40.870324522111424,-73.88852464418646
32305098,12/31/2015 11:57:46 PM,01/01/2016 07:43:13 AM,NYPD,Illegal Parking,Commercial Overnight Parking,BRONX,Closed,10461,40.83599404683083,-73.82837939584206
32306529,12/31/2015 11:56:58 PM,01/01/2016 03:24:42 AM,NYPD,Illegal Parking,Blocked Sidewalk,QUEENS,Closed,11373,40.733059618956815,-73.87416975810375
32306554,12/31/2015 11:56:30 PM,01/01/2016 01:50:11 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11215,40.66082272389114,-73.99256786342693
32306559,12/31/2015 11:55:32 PM,01/01/2016 01:53:54 AM,NYPD,Illegal Parking,Blocked Hydrant,MANHATTAN,Closed,10032,40.840847591440415,-73.9373750864581
32307009,12/31/2015 11:54:05 PM,01/01/2016 01:42:54 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10457,40.83750262540012,-73.90290517326568
32308581,12/31/2015 11:53:58 PM,01/01/2016 08:27:32 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,QUEENS,Closed,11415,40.704977164399935,-73.8326047502584
32308391,12/31/2015 11:53:58 PM,01/01/2016 01:17:40 AM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11219,40.623793065806524,-73.99953890121567
32305071,12/31/2015 11:52:58 PM,01/01/2016 07:41:38 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11372,40.752599671969676,-73.8933632141368
32306260,12/31/2015 11:50:57 PM,01/01/2016 10:58:08 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10453,40.85155492779258,-73.91999651358469
32306612,12/31/2015 11:48:03 PM,01/01/2016 02:17:59 AM,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BRONX,Closed,10461,40.845545043640215,-73.83358471831198
32305074,12/31/2015 11:47:58 PM,01/01/2016 08:18:47 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11208,40.68751060232221,-73.87450451131276
32309424,12/31/2015 11:47:37 PM,01/01/2016 10:17:22 AM,NYPD,Derelict Vehicle,With License Plate,QUEENS,Closed,11379,40.71409341858147,-73.89938394187791
32309853,12/31/2015 11:47:30 PM,01/01/2016 03:20:57 PM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11374,40.72967940444622,-73.87041654016662
32305538,12/31/2015 11:47:02 PM,01/01/2016 04:39:41 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11412,40.69252034680599,-73.75926357603389
32310273,12/31/2015 11:44:52 PM,01/01/2016 12:36:10 AM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11217,40.679154133157326,-73.98342992763081
32306617,12/31/2015 11:40:59 PM,01/01/2016 02:37:28 AM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11234,40.61655032892211,-73.93020153359745
32308195,12/31/2015 11:40:55 PM,01/01/2016 12:28:31 AM,NYPD,Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN,Closed,10026,40.80526715877265,-73.9533526205901
32310127,12/31/2015 11:40:43 PM,01/01/2016 04:12:35 AM,NYPD,Illegal Parking,Unauthorized Bus Layover,BRONX,Closed,10456,40.83672658684552,-73.90710561784778
32307994,12/31/2015 11:38:51 PM,01/01/2016 09:11:33 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,QUEENS,Closed,11379,40.713198496024376,-73.87413871579652
32307233,12/31/2015 11:34:18 PM,01/01/2016 12:50:56 AM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11234,40.61478362623815,-73.93656784825214
32308765,12/31/2015 11:32:46 PM,01/01/2016 12:25:21 AM,NYPD,Illegal Parking,Double Parked Blocking Vehicle,MANHATTAN,Closed,10030,40.814001537165495,-73.94266395083876
32308423,12/31/2015 11:31:40 PM,01/03/2016 04:22:52 PM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10467,40.87006255915965,-73.86432172842636
32308426,12/31/2015 11:30:28 PM,01/01/2016 02:47:49 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11432,40.70982729683097,-73.78625714739626
32305916,12/31/2015 11:26:41 PM,12/31/2015 11:53:31 PM,NYPD,Noise - House of Worship,Loud Music/Party,MANHATTAN,Closed,10031,40.826101709196,-73.94566339279595
32308379,12/31/2015 11:26:35 PM,01/01/2016 05:07:29 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11419,40.68711749970851,-73.8255967145633
32309402,12/31/2015 11:25:56 PM,01/01/2016 01:12:02 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,MANHATTAN,Closed,10024,40.78693045941381,-73.9732015755585
32308850,12/31/2015 11:25:01 PM,01/01/2016 01:55:14 AM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11201,40.691599059545375,-73.98437881826075
32310297,12/31/2015 11:22:51 PM,01/01/2016 01:22:14 AM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32308054,12/31/2015 11:21:24 PM,01/01/2016 01:55:13 AM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11201,40.691599059545375,-73.98437881826075
32307660,12/31/2015 11:19:22 PM,01/01/2016 07:47:29 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10462,40.847538579165025,-73.86121948003017
32306700,12/31/2015 11:18:10 PM,01/02/2016 01:04:03 AM,NYPD,Illegal Parking,Double Parked Blocking Traffic,Unspecified,Closed,,,
32309182,12/31/2015 11:16:06 PM,01/01/2016 01:39:12 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11385,40.70744791054564,-73.89888901250218
32308637,12/31/2015 11:15:27 PM,01/01/2016 05:06:16 AM,NYPD,Illegal Parking,Blocked Sidewalk,QUEENS,Closed,11414,40.66126649025677,-73.85693936667572
32306281,12/31/2015 11:13:47 PM,12/31/2015 11:32:32 PM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11213,40.670842567107634,-73.93555563656233
32307213,12/31/2015 11:12:45 PM,01/01/2016 05:37:20 AM,NYPD,Illegal Parking,Commercial Overnight Parking,QUEENS,Closed,11375,40.73639857849262,-73.84590947131231
